PreprocessedSeries,Classe
-1.12197326437108,True
-1.61979849627719,False
-0.375235416511915,False
-0.09520872356472809,False
0.1537038923883269,False
0.2781602003648544,False
-0.06409464657059621,False
0.09147573840006316,False
-0.03298056957646435,True
0.6204150473003051,False
0.37150243134725003,False
-0.0018664925823324706,False
0.4959587393237776,False
-0.2507791085353875,False
0.2781602003648544,True
1.5849514341183932,False
0.43373058533551384,False
-0.7486043404414975,False
0.30927427735898627,False
-2.0865096511891683,True
-1.0597451103828164,False
0.34038835435311815,False
0.4959587393237776,False
-0.0018664925823324706,False
0.060361661405931286,True
0.5270728163179095,False
-0.18855095454712373,False
-0.9975169563945525,False
0.029247584411799404,False
-0.375235416511915,False
-1.0286310333886843,False
0.86932766325336,False
0.12258981539419503,True
-0.9352888024062888,False
-0.2507791085353875,False
0.18481796938245879,False
0.060361661405931286,False
0.12258981539419503,True
1.0560121252181514,False
0.30927427735898627,False
0.21593204637659066,False
-0.4685776474943106,True
-0.7486043404414975,False
0.09147573840006316,False
-0.9975169563945525,False
-0.7797184174356293,False
0.4648446623296457,False
0.43373058533551384,False
0.2781602003648544,False
-0.3441213395177831,False
1.0560121252181514,False
0.5893009703061732,False
-0.375235416511915,True
0.37150243134725003,False
-0.15743687755299185,False
-0.49969172448844246,False
0.12258981539419503,False
0.060361661405931286,False
-0.15743687755299185,False
0.4959587393237776,False
-0.4685776474943106,False
0.34038835435311815,True
-0.4374635705001787,False
0.029247584411799404,False
0.12258981539419503,False
0.9626698942357557,False
-0.7797184174356293,False
-0.375235416511915,False
-0.375235416511915,False
-0.0018664925823324706,False
-0.0018664925823324706,False
-0.2196650315412556,False
0.30927427735898627,False
-0.15743687755299185,False
0.18481796938245879,False
0.2781602003648544,False
0.1537038923883269,False
-0.06409464657059621,False
0.1537038923883269,False
0.24704612337072254,False
-0.3441213395177831,False
0.21593204637659066,False
-0.0018664925823324706,True
-0.5619198784767062,False
-0.3441213395177831,False
0.060361661405931286,False
-0.7797184174356293,False
0.24704612337072254,False
-0.15743687755299185,False
-0.593033955470838,True
-0.9352888024062888,False
-0.5619198784767062,False
-0.31300726252365124,False
-0.28189318552951936,False
0.4959587393237776,False
-0.18855095454712373,False
-0.06409464657059621,False
0.40261650834138196,False
0.060361661405931286,False
-0.12632280055885997,False
-0.2196650315412556,True
-0.4374635705001787,False
-0.09520872356472809,False
-0.0018664925823324706,False
0.060361661405931286,False
0.30927427735898627,True
-0.873060648418025,False
0.30927427735898627,True
-3.0199319610131243,False
-0.09520872356472809,False
-0.593033955470838,False
-0.0018664925823324706,False
-1.184201418359344,False
-0.49969172448844246,False
0.12258981539419503,False
0.4648446623296457,False
-0.03298056957646435,False
0.060361661405931286,False
0.09147573840006316,False
-0.03298056957646435,False
0.1537038923883269,False
-0.0018664925823324706,True
-2.397650421130487,False
0.1537038923883269,False
1.0871262022122832,False
0.7448713552768326,False
0.9004417402474919,False
-1.0597451103828164,False
-0.6863761864532337,False
-0.9975169563945525,False
-0.873060648418025,False
0.37150243134725003,False
1.1804684331946789,False
-0.9041747254121569,False
1.6782936651007887,False
-0.18855095454712373,False
-0.0018664925823324706,False
